date,price
15.05.2014,326.05
14.05.2014,327.0
13.05.2014,326.0
12.05.2014,329.0
08.05.2014,325.74
07.05.2014,327.5
06.05.2014,334.08
05.05.2014,340.45
02.05.2014,330.0
30.04.2014,331.63
29.04.2014,334.22
28.04.2014,334.32
25.04.2014,338.08
24.04.2014,332.79
23.04.2014,330.14
22.04.2014,330.83
21.04.2014,331.03
18.04.2014,333.13
17.04.2014,334.0
16.04.2014,336.0
15.04.2014,337.0
14.04.2014,341.15
11.04.2014,339.35
10.04.2014,337.31
09.04.2014,335.0
08.04.2014,335.54
07.04.2014,332.92
04.04.2014,328.92
03.04.2014,328.0
02.04.2014,328.93
01.04.2014,323.2
31.03.2014,325.51
28.03.2014,331.11
27.03.2014,331.83
26.03.2014,333.47
25.03.2014,337.13
24.03.2014,342.49
21.03.2014,349.78
20.03.2014,344.93
19.03.2014,346.72
18.03.2014,352.89
17.03.2014,358.51
14.03.2014,366.06
13.03.2014,359.4
12.03.2014,357.91
11.03.2014,353.0
07.03.2014,349.17
06.03.2014,349.14
05.03.2014,346.89
04.03.2014,347.02
03.03.2014,352.0
28.02.2014,341.8
27.02.2014,346.55
26.02.2014,344.1
25.02.2014,341.4
24.02.2014,340.1
21.02.2014,338.09
20.02.2014,338.0
19.02.2014,339.23
18.02.2014,332.6
17.02.2014,335.35
14.02.2014,331.9
13.02.2014,327.65
12.02.2014,321.49
11.02.2014,321.0
10.02.2014,317.6
07.02.2014,313.24
06.02.2014,316.65
05.02.2014,316.11
04.02.2014,317.18
03.02.2014,316.38
31.01.2014,317.3
30.01.2014,311.16
29.01.2014,319.5
28.01.2014,314.25
27.01.2014,314.56
24.01.2014,314.41
23.01.2014,308.39
22.01.2014,303.27
21.01.2014,302.56
20.01.2014,304.5
17.01.2014,301.5
16.01.2014,298.13
15.01.2014,297.53
14.01.2014,299.7
13.01.2014,296.88
10.01.2014,295.62
09.01.2014,292.85
08.01.2014,291.93
06.01.2014,297.3
30.12.2013,285.13
27.12.2013,285.09
26.12.2013,284.1
25.12.2013,283.49
24.12.2013,282.52
23.12.2013,282.5
20.12.2013,284.3
19.12.2013,285.51
18.12.2013,292.0
17.12.2013,292.6
16.12.2013,292.4
